company_name,name_ar,sector,city,region,size_band,website,source_type,source_url,consent_status,opt_out,contact_channel,pain_hypothesis_en,pain_hypothesis_ar
Riyadh Premier Real Estate Group,مجموعة الرياض العقارية,real_estate,Riyadh,Central,mid,,sector_frame,https://www.monshaat.gov.sa,required_before_contact,false,public_website_contact_form,Lead follow-up scattered across WhatsApp and spreadsheets; slow response to inbound buyers,متابعة العملاء مبعثرة بين واتساب وإكسل؛ بطء الرد على المشترين الجدد
Jeddah Coastal Developments,تطوير جدة الساحلية,real_estate,Jeddah,Western,large,,sector_frame,https://www.rega.gov.sa,required_before_contact,false,public_website_contact_form,High inquiry volume but no ranked follow-up priority list,حجم استفسارات عالٍ بلا قائمة أولويات متابعة مرتّبة
Eastern Province Logistics Co,شركة لوجستيات المنطقة الشرقية,logistics,Dammam,Eastern,large,,sector_frame,https://tga.gov.sa,required_before_contact,false,public_switchboard,Manual quote-to-booking handoffs; revenue leakage in delayed follow-ups,تسليم يدوي من عرض السعر للحجز؛ هدر إيراد في تأخّر المتابعة
Jubail Industrial Freight Services,خدمات الشحن الصناعي بالجبيل,logistics,Jubail,Eastern,mid,,sector_frame,https://tga.gov.sa,required_before_contact,false,public_switchboard,Repeat-client renewals not tracked; reactive instead of proactive outreach,تجديدات العملاء المتكررين غير متتبَّعة؛ تواصل ردّ فعل لا استباقي
NorthStar Medical Clinics,عيادات نورث ستار الطبية,healthcare,Riyadh,Central,mid,,sector_frame,https://www.moh.gov.sa,required_before_contact,false,public_website_contact_form,Appointment no-shows and weak recall follow-up; PII-heavy data needs PDPL care,تغيّب المواعيد وضعف متابعة الاستدعاء؛ بيانات حساسة تتطلب PDPL
Jeddah Specialist Dental Network,شبكة جدة لطب الأسنان التخصصي,healthcare,Jeddah,Western,mid,,sector_frame,https://www.moh.gov.sa,required_before_contact,false,public_website_contact_form,Multi-branch booking fragmentation; no unified revenue view,تشتّت الحجز بين الفروع؛ لا رؤية موحّدة للإيراد
Eastern Health Polyclinics,مجمّعات الشرقية الطبية,healthcare,Khobar,Eastern,large,,sector_frame,https://www.moh.gov.sa,required_before_contact,false,public_switchboard,ZATCA e-invoice readiness and patient recall both manual,جاهزية فاتورة ZATCA واستدعاء المرضى كلاهما يدوي
Tadreeb Professional Academy,أكاديمية تدريب المهنية,training,Riyadh,Central,small,,sector_frame,https://tvtc.gov.sa,required_before_contact,false,public_website_contact_form,Inquiries don't convert to bookings; no structured nurture,الاستفسارات لا تتحول لحجوزات؛ لا رعاية منظَّمة
Western Skills Institute,معهد المهارات الغربية,training,Jeddah,Western,mid,,sector_frame,https://tvtc.gov.sa,required_before_contact,false,public_website_contact_form,Corporate training pipeline managed on email; proposals slip,خط تدريب الشركات يُدار بالبريد؛ العروض تتسرّب
Qassim Vocational Training Center,مركز القصيم للتدريب المهني,training,Buraidah,Qassim,small,,sector_frame,https://tvtc.gov.sa,required_before_contact,false,public_switchboard,Seasonal demand spikes overwhelm manual follow-up,ذروات الطلب الموسمية تُربك المتابعة اليدوية
Al-Bina Engineering Consultants,الاستشارات الهندسية البناء,engineering,Riyadh,Central,mid,,sector_frame,https://saudieng.sa,required_before_contact,false,public_website_contact_form,Change-order billing leakage; project reporting is manual,هدر في فوترة أوامر التغيير؛ تقارير المشاريع يدوية
National Contracting Partners,شركاء المقاولات الوطنية,construction,Dammam,Eastern,large,,sector_frame,https://www.mhrsd.gov.sa,required_before_contact,false,public_switchboard,Subcontractor follow-up and approvals slow; SLA blind spots,بطء متابعة المقاولين من الباطن والموافقات؛ نقاط عمياء في SLA
Khobar Facilities Management Co,شركة الخبر لإدارة المرافق,facilities_management,Khobar,Eastern,large,,sector_frame,https://www.monshaat.gov.sa,required_before_contact,false,public_switchboard,Maintenance tickets lack SLA tracking; repeated failures undetected,بلاغات الصيانة بلا تتبّع SLA؛ الأعطال المتكررة غير مكتشفة
Riyadh Integrated Facility Services,خدمات المرافق المتكاملة الرياض,facilities_management,Riyadh,Central,mid,,sector_frame,https://www.monshaat.gov.sa,required_before_contact,false,public_website_contact_form,Technician dispatch and closure reports fully manual,إرسال الفنيين وتقارير الإغلاق يدوية بالكامل
Ibdaa Digital Marketing Agency,وكالة إبداع للتسويق الرقمي,marketing_agency,Riyadh,Central,small,,sector_frame,https://gamr.gov.sa,required_before_contact,false,public_website_contact_form,Weak post-demo follow-up; about half of proposals go cold,ضعف المتابعة بعد العرض؛ نصف العروض تبرد تقريباً
Coastal Creative Agency,وكالة الإبداع الساحلية,marketing_agency,Jeddah,Western,small,,sector_frame,https://gamr.gov.sa,required_before_contact,false,public_website_contact_form,Lead-to-retainer conversion untracked across channels,تحويل العميل إلى عقد شهري غير متتبَّع عبر القنوات
Nasij Online Retail,متجر نسيج الإلكتروني,ecommerce,Riyadh,Central,mid,,sector_frame,https://mc.gov.sa,required_before_contact,false,public_website_contact_form,Cart abandonment recovery manual; chatbot lacks governance,استرجاع السلال المتروكة يدوي؛ الشات بوت بلا حوكمة
Hijaz Fashion Commerce,تجارة أزياء الحجاز,ecommerce,Jeddah,Western,mid,,sector_frame,https://mc.gov.sa,required_before_contact,false,public_website_contact_form,High traffic but low repeat-purchase follow-up,زيارات عالية ومتابعة شراء متكرر منخفضة
Asalah Restaurant Group,مجموعة مطاعم الأصالة,food_and_beverage,Jeddah,Western,mid,,sector_frame,https://mc.gov.sa,required_before_contact,false,public_switchboard,Reservation no-shows and reactive customer recall,تغيّب الحجوزات واستدعاء عملاء ردّ فعل
Central Catering Holdings,القابضة للتموين المركزي,food_and_beverage,Riyadh,Central,large,,sector_frame,https://mc.gov.sa,required_before_contact,false,public_switchboard,B2B catering contract renewals tracked on spreadsheets,تجديدات عقود التموين B2B تُتابع على الجداول
Tabuk Trade & Distribution,تبوك للتجارة والتوزيع,wholesale_distribution,Tabuk,Northern,mid,,sector_frame,https://mc.gov.sa,required_before_contact,false,public_switchboard,Reorder cycles missed; account coverage uneven,دورات إعادة الطلب تُفوَّت؛ تغطية الحسابات غير متوازنة
Saudi Industrial Supplies Co,الإمدادات الصناعية السعودية,manufacturing,Jubail,Eastern,large,,sector_frame,https://www.mim.gov.sa,required_before_contact,false,public_switchboard,Long quote cycles; no structured win/loss intelligence,دورات تسعير طويلة؛ لا ذكاء منظَّم للربح/الخسارة
Modern Plastics Manufacturing,التصنيع الحديث للبلاستيك,manufacturing,Dammam,Eastern,mid,,sector_frame,https://www.mim.gov.sa,required_before_contact,false,public_switchboard,Distributor follow-up inconsistent; demand signals ignored,متابعة الموزّعين غير منتظمة؛ إشارات الطلب مهمَلة
Capital Accounting Advisors,مستشارو المحاسبة العاصمة,professional_services,Riyadh,Central,small,,sector_frame,https://socpa.org.sa,required_before_contact,false,public_website_contact_form,Client onboarding and renewals manual; capacity-limited growth,تأهيل العملاء والتجديدات يدوية؛ نمو مقيّد بالطاقة
Jeddah Legal Consultancy,استشارات جدة القانونية,professional_services,Jeddah,Western,small,,sector_frame,https://moj.gov.sa,required_before_contact,false,public_website_contact_form,Document-heavy intake; no knowledge retrieval system,استقبال كثيف الوثائق؛ لا نظام استرجاع معرفة
Northern Insurance Brokers,وسطاء التأمين الشمالية,insurance,Hail,Northern,mid,,sector_frame,https://ima.gov.sa,required_before_contact,false,public_switchboard,Policy renewal follow-up reactive; cross-sell missed,متابعة تجديد الوثائق ردّ فعل؛ البيع المتقاطع مفقود
Gulf Risk & Insurance Services,خدمات الخليج للتأمين وإدارة المخاطر,insurance,Khobar,Eastern,large,,sector_frame,https://ima.gov.sa,required_before_contact,false,public_switchboard,Quote turnaround slow; renewals not prioritized,بطء إصدار عروض الأسعار؛ التجديدات غير مرتّبة بالأولوية
Riyadh Auto Group,مجموعة الرياض للسيارات,automotive,Riyadh,Central,large,,sector_frame,https://mc.gov.sa,required_before_contact,false,public_switchboard,Service recall and lead follow-up manual across branches,استدعاء الصيانة ومتابعة العملاء يدوية بين الفروع
Western Motors Trading,موتورز الغربية للتجارة,automotive,Jeddah,Western,mid,,sector_frame,https://mc.gov.sa,required_before_contact,false,public_switchboard,Test-drive leads not nurtured to close,عملاء تجربة القيادة لا يُرعَون حتى الإغلاق
Aseer Hospitality Group,مجموعة عسير للضيافة,hospitality,Abha,Southern,mid,,sector_frame,https://mt.gov.sa,required_before_contact,false,public_website_contact_form,Corporate booking pipeline reactive; group sales untracked,خط حجوزات الشركات ردّ فعل؛ مبيعات المجموعات غير متتبَّعة
Madinah Hotels & Resorts,فنادق ومنتجعات المدينة,hospitality,Medina,Western,large,,sector_frame,https://mt.gov.sa,required_before_contact,false,public_switchboard,Seasonal demand; weak repeat-corporate follow-up,طلب موسمي؛ ضعف متابعة الشركات المتكررة
Yanbu Petrochem Services,خدمات ينبع البتروكيماوية,oil_gas_services,Yanbu,Western,large,,sector_frame,https://www.mim.gov.sa,required_before_contact,false,public_switchboard,Vendor and tender follow-up manual; compliance docs scattered,متابعة الموردين والمناقصات يدوية؛ وثائق الامتثال مبعثرة
Eastern Oilfield Support Co,دعم حقول النفط الشرقية,oil_gas_services,Dammam,Eastern,enterprise,,sector_frame,https://www.mim.gov.sa,required_before_contact,false,public_switchboard,Large doc libraries; no sovereign knowledge assistant,مكتبات وثائق ضخمة؛ لا مساعد معرفة سيادي
TechNova SaaS,تك نوفا للبرمجيات,technology,Riyadh,Central,mid,,sector_frame,https://mcit.gov.sa,required_before_contact,false,public_website_contact_form,Losing leads pre-qualification; CRM gaps in handoffs,فقدان عملاء قبل التأهيل؛ فجوات CRM في التسليم
Cloud Systems Arabia,أنظمة السحابة العربية,technology,Khobar,Eastern,mid,,sector_frame,https://mcit.gov.sa,required_before_contact,false,public_website_contact_form,Outbound research manual; SDR capacity limits pipeline,بحث التواصل يدوي؛ طاقة SDR تحدّ خط الأنابيب
Riyadh PMO Consulting,استشارات مكتب إدارة المشاريع الرياض,project_management,Riyadh,Central,mid,,sector_frame,https://www.my.gov.sa,required_before_contact,false,public_website_contact_form,Project risk tracking and progress reporting manual,تتبّع مخاطر المشاريع وتقارير التقدم يدوية
Vision Property Management,إدارة أملاك الرؤية,real_estate,Riyadh,Central,mid,,sector_frame,https://www.rega.gov.sa,required_before_contact,false,public_website_contact_form,Tenant renewals and maintenance requests uncoordinated,تجديدات المستأجرين وطلبات الصيانة غير منسّقة
Mecca Pilgrim Services Co,شركة خدمات ضيوف مكة,hospitality,Mecca,Western,large,,sector_frame,https://www.haj.gov.sa,required_before_contact,false,public_switchboard,Seasonal B2B contracts; manual coordination at scale,عقود B2B موسمية؛ تنسيق يدوي على نطاق واسع
Saudi Edu Group,المجموعة السعودية للتعليم,education,Riyadh,Central,large,,sector_frame,https://moe.gov.sa,required_before_contact,false,public_website_contact_form,Enrollment inquiries leak; no nurture across campuses,استفسارات التسجيل تتسرّب؛ لا رعاية بين الفروع
Najran Trading Enterprises,مؤسسات نجران التجارية,wholesale_distribution,Najran,Southern,small,,sector_frame,https://mc.gov.sa,required_before_contact,false,public_switchboard,Account coverage thin; reorder follow-up missed,تغطية الحسابات ضعيفة؛ متابعة إعادة الطلب مفقودة
Gulf Fintech Solutions,حلول الخليج للتقنية المالية,fintech,Riyadh,Central,mid,,sector_frame,https://sama.gov.sa,required_before_contact,false,public_website_contact_form,Compliance-heavy onboarding; manual KYC follow-up,تأهيل كثيف الامتثال؛ متابعة KYC يدوية
Eastern Steel Fabrication,تصنيع الصلب الشرقية,manufacturing,Jubail,Eastern,large,,sector_frame,https://www.mim.gov.sa,required_before_contact,false,public_switchboard,Tender pipeline untracked; estimating cycles slow,خط المناقصات غير متتبَّع؛ دورات التقدير بطيئة
Riyadh Cleaning & FM Services,خدمات الرياض للنظافة والمرافق,facilities_management,Riyadh,Central,large,,sector_frame,https://www.monshaat.gov.sa,required_before_contact,false,public_switchboard,Contract renewals and SLA reporting manual,تجديدات العقود وتقارير SLA يدوية
Tabuk Agritech Co,تبوك للتقنية الزراعية,agritech,Tabuk,Northern,mid,,sector_frame,https://mewa.gov.sa,required_before_contact,false,public_website_contact_form,B2B distributor follow-up and forecasting manual,متابعة الموزّعين B2B والتنبؤ يدوية
Jeddah Import & Export House,بيت جدة للاستيراد والتصدير,wholesale_distribution,Jeddah,Western,mid,,sector_frame,https://mc.gov.sa,required_before_contact,false,public_switchboard,Long buyer cycles; no structured account intelligence,دورات شراء طويلة؛ لا ذكاء حسابات منظَّم
