slot_id,company_placeholder,sector,region,why_now_hypothesis_ar,why_now_hypothesis_en,recommended_offer_rung,recommended_offer,suggested_first_touch,current_status,priority,next_action,doctrine_note
T001,هدف warm 25,agency_wedge,KSA (fill city from CRM),retainer before proof,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),"LinkedIn manual DM (warm, founder-typed)",meeting_booked,high,Discovery,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T002,هدف استراتيجي 99,agency_partner,KSA (fill city from CRM),co-sell عميل واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Partner / mutual introduction,meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T003,هدف استراتيجي 114,consulting_firm,KSA (fill city from CRM),عملاء يطلبون أتمتة بلا أدلة,Consulting clients ask for automation without governance; needs a safe diagnostic first.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T004,هدف استراتيجي 129,direct_b2b,KSA (fill city from CRM),متابعة أولى بطيئة,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T005,هدف استراتيجي 144,ecommerce,KSA (fill city from CRM),سلة متروكة بلا قرار إيراد,E-commerce pipeline lacks evidence on lead conversion.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T006,هدف استراتيجي 159,telecom_b2b,KSA (fill city from CRM),حسابات enterprise بلا proof,Telecom B2B needs an executive diagnostic on AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T007,هدف استراتيجي 174,healthcare,KSA (fill city from CRM),متابعة مريض/عميل بلا owner,Healthcare B2B needs PDPL-safe handling of lead data.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T008,هدف استراتيجي 189,crm_partner,KSA (fill city from CRM),تنفيذ CRM قبل التشخيص,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T009,هدف استراتيجي 204,insurance,KSA (fill city from CRM),وثائق leads بلا إغلاق,Insurance B2B has slow first response on inbound quotes.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T010,هدف استراتيجي 219,fintech,KSA (fill city from CRM),leads مالية بلا تسليم Proof,Fintech needs governed diagnostics under regulatory constraint.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T011,هدف استراتيجي 234,saas,KSA (fill city from CRM),توسع AI بدون حوكمة,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T012,هدف استراتيجي 249,government_vendor,KSA (fill city from CRM),مناقصات بلا owner متابعة,Government vendor needs an AI governance review before scope.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Partner / mutual introduction,meeting_booked,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T013,هدف استراتيجي 58 — وكالة/خدمات,crm_partner,KSA (fill city from CRM),follow-up غير موثق,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T014,هدف استراتيجي 61 — وكالة/خدمات,agency_wedge,KSA (fill city from CRM),العميل يسأل ماذا حدث بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T015,هدف استراتيجي 64 — وكالة/خدمات,agency_partner,KSA (fill city from CRM),co-sell pilot واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T016,هدف استراتيجي 67 — وكالة/خدمات,direct_b2b,KSA (fill city from CRM),CRM مليان بلا owner,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T017,هدف استراتيجي 70 — وكالة/خدمات,executive_governance,KSA (fill city from CRM),AI بلا حوكمة,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T018,هدف استراتيجي 73 — وكالة/خدمات,crm_partner,KSA (fill city from CRM),follow-up غير موثق,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T019,هدف استراتيجي 76 — وكالة/خدمات,agency_wedge,KSA (fill city from CRM),العميل يسأل ماذا حدث بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T020,هدف استراتيجي 79 — وكالة/خدمات,agency_partner,KSA (fill city from CRM),co-sell pilot واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T021,هدف استراتيجي 82 — وكالة/خدمات,direct_b2b,KSA (fill city from CRM),CRM مليان بلا owner,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T022,هدف استراتيجي 85 — وكالة/خدمات,executive_governance,KSA (fill city from CRM),AI بلا حوكمة,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T023,هدف استراتيجي 96,consulting_firm,KSA (fill city from CRM),عملاء يطلبون أتمتة بلا أدلة,Consulting clients ask for automation without governance; needs a safe diagnostic first.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T024,هدف استراتيجي 111,direct_b2b,KSA (fill city from CRM),متابعة أولى بطيئة,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T025,هدف استراتيجي 126,ecommerce,KSA (fill city from CRM),سلة متروكة بلا قرار إيراد,E-commerce pipeline lacks evidence on lead conversion.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T026,هدف استراتيجي 141,education,KSA (fill city from CRM),تسجيل inbound بلا متابعة,Education B2B has unowned enrolment inquiries.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T027,هدف استراتيجي 156,ecommerce,KSA (fill city from CRM),سلة متروكة بلا قرار إيراد,E-commerce pipeline lacks evidence on lead conversion.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T028,هدف استراتيجي 171,marketing_agency,KSA (fill city from CRM),ضغط inbound,Marketing agency lacks a weekly evidence loop for retained clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T029,هدف استراتيجي 186,agency_wedge,KSA (fill city from CRM),لا proof أسبوعي للعميل,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T030,هدف استراتيجي 201,media_buying,KSA (fill city from CRM),تقارير media بلا post-lead ops,Media-buying lacks post-campaign proof for clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T031,هدف استراتيجي 216,agency_partner,KSA (fill city from CRM),co-sell عميل واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Partner / mutual introduction,message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T032,هدف استراتيجي 231,agency_wedge,KSA (fill city from CRM),العميل يسأل عن ROI بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T033,هدف استراتيجي 246,logistics,KSA (fill city from CRM),عروض B2B بلا evidence,Logistics needs a governed diagnostic before any automation.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),message_drafted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T034,REPLACE:وكالة من شبكتك 1,agency_wedge,KSA (fill city from CRM),العميل يسأل ماذا حدث بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T035,REPLACE:وكالة من شبكتك 2,agency_wedge,KSA (fill city from CRM),CRM مليان بلا owner للمتابعة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),not_contacted,high,طلب ديمو 10 دقائق,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T036,REPLACE:مؤسس SaaS معروف,saas,KSA (fill city from CRM),توسع AI بدون حوكمة,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,لغة Control Tower,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T037,REPLACE:مطور عقاري,real_estate_developer,KSA (fill city from CRM),تأخر رد على leads inbound,Real-estate developer is slow to respond to inbound leads.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",not_contacted,high,مكالمة 5 دقائق,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T038,REPLACE:شريك وكالة محتمل,agency_partner,KSA (fill city from CRM),co-sell عميل واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Partner / mutual introduction,not_contacted,high,Partner one-pager,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T039,هدف warm 12,agency_wedge,KSA (fill city from CRM),post-campaign leak,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),not_contacted,high,مسودة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T040,هدف warm 13,agency_wedge,KSA (fill city from CRM),no weekly proof,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T041,هدف warm 17,agency_partner,KSA (fill city from CRM),one client pilot,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Partner / mutual introduction,not_contacted,high,مسودة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T042,هدف warm 24,real_estate_developer,KSA (fill city from CRM),inbound quality,Real-estate developer is slow to respond to inbound leads.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),not_contacted,high,مسودة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T043,هدف استراتيجي 28 — وكالة/خدمات,crm_partner,KSA (fill city from CRM),follow-up غير موثق,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T044,هدف استراتيجي 31 — وكالة/خدمات,agency_wedge,KSA (fill city from CRM),العميل يسأل ماذا حدث بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T045,هدف استراتيجي 34 — وكالة/خدمات,agency_partner,KSA (fill city from CRM),co-sell pilot واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T046,هدف استراتيجي 37 — وكالة/خدمات,direct_b2b,KSA (fill city from CRM),CRM مليان بلا owner,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T047,هدف استراتيجي 40 — وكالة/خدمات,executive_governance,KSA (fill city from CRM),AI بلا حوكمة,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T048,هدف استراتيجي 43 — وكالة/خدمات,crm_partner,KSA (fill city from CRM),follow-up غير موثق,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T049,هدف استراتيجي 46 — وكالة/خدمات,agency_wedge,KSA (fill city from CRM),العميل يسأل ماذا حدث بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T050,هدف استراتيجي 49 — وكالة/خدمات,agency_partner,KSA (fill city from CRM),co-sell pilot واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T051,هدف استراتيجي 52 — وكالة/خدمات,direct_b2b,KSA (fill city from CRM),CRM مليان بلا owner,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T052,هدف استراتيجي 55 — وكالة/خدمات,executive_governance,KSA (fill city from CRM),AI بلا حوكمة,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",not_contacted,high,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T053,هدف استراتيجي 90,ecommerce,KSA (fill city from CRM),سلة متروكة بلا قرار إيراد,E-commerce pipeline lacks evidence on lead conversion.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"Inbound reply (await intake, then qualify)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T054,هدف استراتيجي 105,education,KSA (fill city from CRM),تسجيل inbound بلا متابعة,Education B2B has unowned enrolment inquiries.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T055,هدف استراتيجي 120,fintech,KSA (fill city from CRM),leads مالية بلا تسليم Proof,Fintech needs governed diagnostics under regulatory constraint.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"Inbound reply (await intake, then qualify)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T056,هدف استراتيجي 135,agency_partner,KSA (fill city from CRM),co-sell عميل واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),"Phone (scheduled, warm)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T057,هدف استراتيجي 150,consulting_firm,KSA (fill city from CRM),عملاء يطلبون أتمتة بلا أدلة,Consulting clients ask for automation without governance; needs a safe diagnostic first.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),"Inbound reply (await intake, then qualify)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T058,هدف استراتيجي 165,saas,KSA (fill city from CRM),توسع AI بدون حوكمة,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"Phone (scheduled, warm)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T059,هدف استراتيجي 180,government_vendor,KSA (fill city from CRM),مناقصات بلا owner متابعة,Government vendor needs an AI governance review before scope.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"Inbound reply (await intake, then qualify)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T060,هدف استراتيجي 195,executive_governance,KSA (fill city from CRM),مخاطر توسع AI,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"Phone (scheduled, warm)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
