slot_id,company_placeholder,sector,region,why_now_hypothesis_ar,why_now_hypothesis_en,recommended_offer_rung,recommended_offer,suggested_first_touch,current_status,priority,next_action,doctrine_note
T061,هدف استراتيجي 210,direct_b2b,KSA (fill city from CRM),متابعة أولى بطيئة,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"Inbound reply (await intake, then qualify)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T062,هدف استراتيجي 225,ecommerce,KSA (fill city from CRM),سلة متروكة بلا قرار إيراد,E-commerce pipeline lacks evidence on lead conversion.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"Phone (scheduled, warm)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T063,هدف استراتيجي 240,marketing_agency,KSA (fill city from CRM),ضغط inbound,Marketing agency lacks a weekly evidence loop for retained clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",not_contacted,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T064,هدف warm 20,consulting_firm,KSA (fill city from CRM),client proof gap,Consulting clients ask for automation without governance; needs a safe diagnostic first.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),replied,high,متابعة 48h,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T065,هدف استراتيجي 93,direct_b2b,KSA (fill city from CRM),متابعة أولى بطيئة,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T066,هدف استراتيجي 108,ecommerce,KSA (fill city from CRM),سلة متروكة بلا قرار إيراد,E-commerce pipeline lacks evidence on lead conversion.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T067,هدف استراتيجي 123,education,KSA (fill city from CRM),تسجيل inbound بلا متابعة,Education B2B has unowned enrolment inquiries.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T068,هدف استراتيجي 138,fintech,KSA (fill city from CRM),leads مالية بلا تسليم Proof,Fintech needs governed diagnostics under regulatory constraint.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T069,هدف استراتيجي 153,education,KSA (fill city from CRM),تسجيل inbound بلا متابعة,Education B2B has unowned enrolment inquiries.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T070,هدف استراتيجي 168,hospitality,KSA (fill city from CRM),استفسارات MICE بلا owner,Hospitality has booking inquiries with no clear owner.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T071,هدف استراتيجي 183,construction,KSA (fill city from CRM),عروض مشاريع بلا متابعة,Construction B2B needs a governed diagnostic before automation.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"Phone (scheduled, warm)",replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T072,هدف استراتيجي 198,retail,KSA (fill city from CRM),حملات موسمية بلا إغلاق,Retail B2B lacks a structured proof loop on lead handling.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),"LinkedIn manual DM (warm, founder-typed)",replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T073,هدف استراتيجي 213,consulting_firm,KSA (fill city from CRM),عملاء يطلبون أتمتة بلا أدلة,Consulting clients ask for automation without governance; needs a safe diagnostic first.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T074,هدف استراتيجي 228,telecom_b2b,KSA (fill city from CRM),حسابات enterprise بلا proof,Telecom B2B needs an executive diagnostic on AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T075,هدف استراتيجي 243,healthcare,KSA (fill city from CRM),متابعة مريض/عميل بلا owner,Healthcare B2B needs PDPL-safe handling of lead data.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",replied,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T076,هدف warm 21,agency_wedge,KSA (fill city from CRM),client asks ROI,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",sent_manual,high,متابعة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T077,هدف استراتيجي 87,education,KSA (fill city from CRM),تسجيل inbound بلا متابعة,Education B2B has unowned enrolment inquiries.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T078,هدف استراتيجي 102,fintech,KSA (fill city from CRM),leads مالية بلا تسليم Proof,Fintech needs governed diagnostics under regulatory constraint.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T079,هدف استراتيجي 117,agency_partner,KSA (fill city from CRM),co-sell عميل واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Partner / mutual introduction,sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T080,هدف استراتيجي 132,consulting_firm,KSA (fill city from CRM),عملاء يطلبون أتمتة بلا أدلة,Consulting clients ask for automation without governance; needs a safe diagnostic first.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T081,هدف استراتيجي 147,direct_b2b,KSA (fill city from CRM),متابعة أولى بطيئة,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T082,هدف استراتيجي 162,agency_wedge,KSA (fill city from CRM),العميل يسأل عن ROI بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T083,هدف استراتيجي 177,logistics,KSA (fill city from CRM),عروض B2B بلا evidence,Logistics needs a governed diagnostic before any automation.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T084,هدف استراتيجي 192,real_estate_developer,KSA (fill city from CRM),جودة leads inbound,Real-estate developer is slow to respond to inbound leads.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T085,هدف استراتيجي 207,automotive_dealer,KSA (fill city from CRM),استفسارات showrooms,Automotive dealer has slow inbound lead follow-up.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T086,هدف استراتيجي 222,education,KSA (fill city from CRM),تسجيل inbound بلا متابعة,Education B2B has unowned enrolment inquiries.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T087,هدف استراتيجي 237,hospitality,KSA (fill city from CRM),استفسارات MICE بلا owner,Hospitality has booking inquiries with no clear owner.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",sent_manual,high,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T088,هدف استراتيجي 94,saas,KSA (fill city from CRM),توسع AI بدون حوكمة,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T089,هدف استراتيجي 109,agency_wedge,KSA (fill city from CRM),العميل يسأل عن ROI بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T090,هدف استراتيجي 124,logistics,KSA (fill city from CRM),عروض B2B بلا evidence,Logistics needs a governed diagnostic before any automation.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T091,هدف استراتيجي 139,healthcare,KSA (fill city from CRM),متابعة مريض/عميل بلا owner,Healthcare B2B needs PDPL-safe handling of lead data.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T092,هدف استراتيجي 154,logistics,KSA (fill city from CRM),عروض B2B بلا evidence,Logistics needs a governed diagnostic before any automation.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T093,هدف استراتيجي 169,real_estate_developer,KSA (fill city from CRM),جودة leads inbound,Real-estate developer is slow to respond to inbound leads.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T094,هدف استراتيجي 184,automotive_dealer,KSA (fill city from CRM),استفسارات showrooms,Automotive dealer has slow inbound lead follow-up.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T095,هدف استراتيجي 199,education,KSA (fill city from CRM),تسجيل inbound بلا متابعة,Education B2B has unowned enrolment inquiries.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T096,هدف استراتيجي 214,hospitality,KSA (fill city from CRM),استفسارات MICE بلا owner,Hospitality has booking inquiries with no clear owner.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T097,هدف استراتيجي 229,construction,KSA (fill city from CRM),عروض مشاريع بلا متابعة,Construction B2B needs a governed diagnostic before automation.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"Phone (scheduled, warm)",meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T098,هدف استراتيجي 244,retail,KSA (fill city from CRM),حملات موسمية بلا إغلاق,Retail B2B lacks a structured proof loop on lead handling.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),"LinkedIn manual DM (warm, founder-typed)",meeting_booked,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T099,REPLACE:وكالة من شبكتك 3,agency_wedge,KSA (fill city from CRM),لا proof أسبوعي للعميل,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",message_drafted,medium,مراجعة مسودة قبل إرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T100,هدف warm 18,marketing_agency,KSA (fill city from CRM),inbound overload,Marketing agency lacks a weekly evidence loop for retained clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",message_drafted,medium,مراجعة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T101,هدف استراتيجي 29 — وكالة/خدمات,agency_partner,KSA (fill city from CRM),co-sell pilot واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T102,هدف استراتيجي 32 — وكالة/خدمات,direct_b2b,KSA (fill city from CRM),CRM مليان بلا owner,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T103,هدف استراتيجي 35 — وكالة/خدمات,executive_governance,KSA (fill city from CRM),AI بلا حوكمة,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T104,هدف استراتيجي 38 — وكالة/خدمات,crm_partner,KSA (fill city from CRM),follow-up غير موثق,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T105,هدف استراتيجي 41 — وكالة/خدمات,agency_wedge,KSA (fill city from CRM),العميل يسأل ماذا حدث بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T106,هدف استراتيجي 44 — وكالة/خدمات,agency_partner,KSA (fill city from CRM),co-sell pilot واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T107,هدف استراتيجي 47 — وكالة/خدمات,direct_b2b,KSA (fill city from CRM),CRM مليان بلا owner,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T108,هدف استراتيجي 50 — وكالة/خدمات,executive_governance,KSA (fill city from CRM),AI بلا حوكمة,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T109,هدف استراتيجي 53 — وكالة/خدمات,crm_partner,KSA (fill city from CRM),follow-up غير موثق,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T110,هدف استراتيجي 56 — وكالة/خدمات,agency_wedge,KSA (fill city from CRM),العميل يسأل ماذا حدث بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T111,هدف استراتيجي 59 — وكالة/خدمات,agency_partner,KSA (fill city from CRM),co-sell pilot واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T112,هدف استراتيجي 62 — وكالة/خدمات,direct_b2b,KSA (fill city from CRM),CRM مليان بلا owner,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T113,هدف استراتيجي 65 — وكالة/خدمات,executive_governance,KSA (fill city from CRM),AI بلا حوكمة,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T114,هدف استراتيجي 68 — وكالة/خدمات,crm_partner,KSA (fill city from CRM),follow-up غير موثق,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T115,هدف استراتيجي 71 — وكالة/خدمات,agency_wedge,KSA (fill city from CRM),العميل يسأل ماذا حدث بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T116,هدف استراتيجي 74 — وكالة/خدمات,agency_partner,KSA (fill city from CRM),co-sell pilot واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T117,هدف استراتيجي 77 — وكالة/خدمات,direct_b2b,KSA (fill city from CRM),CRM مليان بلا owner,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T118,هدف استراتيجي 80 — وكالة/خدمات,executive_governance,KSA (fill city from CRM),AI بلا حوكمة,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T119,هدف استراتيجي 83 — وكالة/خدمات,crm_partner,KSA (fill city from CRM),follow-up غير موثق,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),message_drafted,medium,مسودة لمسة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T120,هدف استراتيجي 91,agency_wedge,KSA (fill city from CRM),العميل يسأل عن ROI بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T121,هدف استراتيجي 106,logistics,KSA (fill city from CRM),عروض B2B بلا evidence,Logistics needs a governed diagnostic before any automation.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T122,هدف استراتيجي 121,healthcare,KSA (fill city from CRM),متابعة مريض/عميل بلا owner,Healthcare B2B needs PDPL-safe handling of lead data.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
