slot_id,company_placeholder,sector,region,why_now_hypothesis_ar,why_now_hypothesis_en,recommended_offer_rung,recommended_offer,suggested_first_touch,current_status,priority,next_action,doctrine_note
T123,هدف استراتيجي 136,marketing_agency,KSA (fill city from CRM),ضغط inbound,Marketing agency lacks a weekly evidence loop for retained clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T124,هدف استراتيجي 151,healthcare,KSA (fill city from CRM),متابعة مريض/عميل بلا owner,Healthcare B2B needs PDPL-safe handling of lead data.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T125,هدف استراتيجي 166,crm_partner,KSA (fill city from CRM),تنفيذ CRM قبل التشخيص,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T126,هدف استراتيجي 181,insurance,KSA (fill city from CRM),وثائق leads بلا إغلاق,Insurance B2B has slow first response on inbound quotes.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T127,هدف استراتيجي 196,fintech,KSA (fill city from CRM),leads مالية بلا تسليم Proof,Fintech needs governed diagnostics under regulatory constraint.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T128,هدف استراتيجي 211,saas,KSA (fill city from CRM),توسع AI بدون حوكمة,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T129,هدف استراتيجي 226,government_vendor,KSA (fill city from CRM),مناقصات بلا owner متابعة,Government vendor needs an AI governance review before scope.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Partner / mutual introduction,message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T130,هدف استراتيجي 241,executive_governance,KSA (fill city from CRM),مخاطر توسع AI,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Partner / mutual introduction,message_drafted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T131,REPLACE:شريك CRM/HubSpot,crm_partner,KSA (fill city from CRM),يحتاج diagnostic قبل التنفيذ,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),not_contacted,medium,عرض Proof قبل التنفيذ,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T132,REPLACE:B2B خدمات معروفة,direct_b2b,KSA (fill city from CRM),follow-up غير موثق,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),not_contacted,medium,Discovery 30 دقيقة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T133,REPLACE:استشاري نمو,consulting_firm,KSA (fill city from CRM),عملاء يطلبون أتمتة بلا حوكمة,Consulting clients ask for automation without governance; needs a safe diagnostic first.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),not_contacted,medium,مسودة email warm,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T134,REPLACE:تقنية B2B,saas,KSA (fill city from CRM),Pipeline بلا evidence,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"LinkedIn manual DM (warm, founder-typed)",not_contacted,medium,تعليق LinkedIn ثم DM,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T135,هدف warm 14,direct_b2b,KSA (fill city from CRM),slow first response,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),not_contacted,medium,مسودة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T136,هدف warm 15,executive_governance,KSA (fill city from CRM),AI scale risk,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Partner / mutual introduction,not_contacted,medium,مسودة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T137,هدف warm 16,crm_partner,KSA (fill city from CRM),pre-HubSpot diagnostic,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),not_contacted,medium,مسودة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T138,هدف warm 19,saas,KSA (fill city from CRM),founder-led sales,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),not_contacted,medium,مسودة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T139,هدف warm 22,direct_b2b,KSA (fill city from CRM),CRM chaos,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),not_contacted,medium,مسودة,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T140,هدف warm 23,hospitality,KSA (fill city from CRM),MICE inquiries,Hospitality has booking inquiries with no clear owner.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",not_contacted,medium,اتصال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T141,هدف استراتيجي 100,marketing_agency,KSA (fill city from CRM),ضغط inbound,Marketing agency lacks a weekly evidence loop for retained clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T142,هدف استراتيجي 115,hospitality,KSA (fill city from CRM),استفسارات MICE بلا owner,Hospitality has booking inquiries with no clear owner.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T143,هدف استراتيجي 130,saas,KSA (fill city from CRM),توسع AI بدون حوكمة,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"Inbound reply (await intake, then qualify)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T144,هدف استراتيجي 145,agency_wedge,KSA (fill city from CRM),العميل يسأل عن ROI بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T145,هدف استراتيجي 160,construction,KSA (fill city from CRM),عروض مشاريع بلا متابعة,Construction B2B needs a governed diagnostic before automation.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),"Inbound reply (await intake, then qualify)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T146,هدف استراتيجي 175,retail,KSA (fill city from CRM),حملات موسمية بلا إغلاق,Retail B2B lacks a structured proof loop on lead handling.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),"Phone (scheduled, warm)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T147,هدف استراتيجي 190,consulting_firm,KSA (fill city from CRM),عملاء يطلبون أتمتة بلا أدلة,Consulting clients ask for automation without governance; needs a safe diagnostic first.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),"Inbound reply (await intake, then qualify)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T148,هدف استراتيجي 205,telecom_b2b,KSA (fill city from CRM),حسابات enterprise بلا proof,Telecom B2B needs an executive diagnostic on AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"Phone (scheduled, warm)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T149,هدف استراتيجي 220,healthcare,KSA (fill city from CRM),متابعة مريض/عميل بلا owner,Healthcare B2B needs PDPL-safe handling of lead data.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T150,هدف استراتيجي 235,crm_partner,KSA (fill city from CRM),تنفيذ CRM قبل التشخيص,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),"Phone (scheduled, warm)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T151,هدف استراتيجي 250,insurance,KSA (fill city from CRM),وثائق leads بلا إغلاق,Insurance B2B has slow first response on inbound quotes.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",not_contacted,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T152,REPLACE:قاعة/فندق B2B,hospitality,KSA (fill city from CRM),استفسارات حجز بلا owner,Hospitality has booking inquiries with no clear owner.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Inbound reply (await intake, then qualify)",replied,medium,إرسال Risk Score,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T153,هدف استراتيجي 88,logistics,KSA (fill city from CRM),عروض B2B بلا evidence,Logistics needs a governed diagnostic before any automation.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T154,هدف استراتيجي 103,healthcare,KSA (fill city from CRM),متابعة مريض/عميل بلا owner,Healthcare B2B needs PDPL-safe handling of lead data.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T155,هدف استراتيجي 118,marketing_agency,KSA (fill city from CRM),ضغط inbound,Marketing agency lacks a weekly evidence loop for retained clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T156,هدف استراتيجي 133,hospitality,KSA (fill city from CRM),استفسارات MICE بلا owner,Hospitality has booking inquiries with no clear owner.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T157,هدف استراتيجي 148,saas,KSA (fill city from CRM),توسع AI بدون حوكمة,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T158,هدف استراتيجي 163,agency_wedge,KSA (fill city from CRM),لا proof أسبوعي للعميل,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T159,هدف استراتيجي 178,media_buying,KSA (fill city from CRM),تقارير media بلا post-lead ops,Media-buying lacks post-campaign proof for clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T160,هدف استراتيجي 193,agency_partner,KSA (fill city from CRM),co-sell عميل واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Partner / mutual introduction,replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T161,هدف استراتيجي 208,agency_wedge,KSA (fill city from CRM),العميل يسأل عن ROI بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T162,هدف استراتيجي 223,logistics,KSA (fill city from CRM),عروض B2B بلا evidence,Logistics needs a governed diagnostic before any automation.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T163,هدف استراتيجي 238,real_estate_developer,KSA (fill city from CRM),جودة leads inbound,Real-estate developer is slow to respond to inbound leads.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),replied,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T164,هدف استراتيجي 97,hospitality,KSA (fill city from CRM),استفسارات MICE بلا owner,Hospitality has booking inquiries with no clear owner.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"Phone (scheduled, warm)",sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T165,هدف استراتيجي 112,saas,KSA (fill city from CRM),توسع AI بدون حوكمة,SaaS is scaling AI without governance; pipeline lacks evidence.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,"LinkedIn manual DM (warm, founder-typed)",sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T166,هدف استراتيجي 127,agency_wedge,KSA (fill city from CRM),العميل يسأل عن ROI بعد الحملة,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T167,هدف استراتيجي 142,logistics,KSA (fill city from CRM),عروض B2B بلا evidence,Logistics needs a governed diagnostic before any automation.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T168,هدف استراتيجي 157,government_vendor,KSA (fill city from CRM),مناقصات بلا owner متابعة,Government vendor needs an AI governance review before scope.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Partner / mutual introduction,sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T169,هدف استراتيجي 172,executive_governance,KSA (fill city from CRM),مخاطر توسع AI,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Partner / mutual introduction,sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T170,هدف استراتيجي 187,direct_b2b,KSA (fill city from CRM),متابعة أولى بطيئة,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T171,هدف استراتيجي 202,ecommerce,KSA (fill city from CRM),سلة متروكة بلا قرار إيراد,E-commerce pipeline lacks evidence on lead conversion.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T172,هدف استراتيجي 217,marketing_agency,KSA (fill city from CRM),ضغط inbound,Marketing agency lacks a weekly evidence loop for retained clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T173,هدف استراتيجي 232,agency_wedge,KSA (fill city from CRM),لا proof أسبوعي للعميل,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T174,هدف استراتيجي 247,media_buying,KSA (fill city from CRM),تقارير media بلا post-lead ops,Media-buying lacks post-campaign proof for clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",sent_manual,medium,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T175,هدف استراتيجي 89,media_buying,KSA (fill city from CRM),تقارير media بلا post-lead ops,Media-buying lacks post-campaign proof for clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T176,هدف استراتيجي 104,retail,KSA (fill city from CRM),حملات موسمية بلا إغلاق,Retail B2B lacks a structured proof loop on lead handling.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),"LinkedIn manual DM (warm, founder-typed)",meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T177,هدف استراتيجي 119,executive_governance,KSA (fill city from CRM),مخاطر توسع AI,Executive needs a control-tower view over AI scale risk.,Rung 0/4,Executive Diagnostic -> Custom AI / Governance scope,Partner / mutual introduction,meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T178,هدف استراتيجي 134,real_estate_developer,KSA (fill city from CRM),جودة leads inbound,Real-estate developer is slow to respond to inbound leads.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,Warm email (existing relationship),meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T179,هدف استراتيجي 149,crm_partner,KSA (fill city from CRM),تنفيذ CRM قبل التشخيص,CRM/HubSpot partner needs a pre-implementation diagnostic layer.,Rung 0,Free Diagnostic (CRM-partner pre-implementation layer),Warm email (existing relationship),meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T180,هدف استراتيجي 164,direct_b2b,KSA (fill city from CRM),متابعة أولى بطيئة,"Direct B2B has undocumented, slow follow-up on inbound leads.",Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T181,هدف استراتيجي 179,ecommerce,KSA (fill city from CRM),سلة متروكة بلا قرار إيراد,E-commerce pipeline lacks evidence on lead conversion.,Rung 0/1,Free Diagnostic -> 499 SAR Sprint (governed),Warm email (existing relationship),meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T182,هدف استراتيجي 194,marketing_agency,KSA (fill city from CRM),ضغط inbound,Marketing agency lacks a weekly evidence loop for retained clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T183,هدف استراتيجي 209,agency_wedge,KSA (fill city from CRM),لا proof أسبوعي للعميل,Agency cannot show clients what happened after the campaign; weekly proof is missing.,Rung 1,499 SAR Revenue Proof Sprint (agency wedge),Warm email (existing relationship),meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T184,هدف استراتيجي 224,media_buying,KSA (fill city from CRM),تقارير media بلا post-lead ops,Media-buying lacks post-campaign proof for clients.,Rung 0/1,Free Diagnostic -> 499 SAR Revenue Proof Sprint,"LinkedIn manual DM (warm, founder-typed)",meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
T185,هدف استراتيجي 239,agency_partner,KSA (fill city from CRM),co-sell عميل واحد,Agency partner has one shared client ready for a co-sell pilot.,Rung 1,Partner co-sell 499 SAR Sprint (one shared client),Partner / mutual introduction,meeting_booked,low,مسودة — موافقة قبل الإرسال,"PLACEHOLDER identity — fill real contact from CRM. DRAFT only, founder approves before any send."
